acc;dropout;epoch;l1;l2;l3;l4;l5;l6;l7;nb
0.479069766;0;100;0.5;0.5;;;;;;2
0.506976744;0;100;0.5;5;;;;;;2
0.46976744;0;100;5;0.5;;;;;;2
0.506976743;0;100;5;5;;;;;;2
0.479069768;0.5;100;0.5;0.5;;;;;;2
0.48372093;0.5;100;0.5;5;;;;;;2
0.474418605;0.5;100;5;0.5;;;;;;2
0.506976743;0.5;100;5;5;;;;;;2
0.497674417;0;100;0.5;0.5;0.5;0.5;0.5;;;5
0.525581395;0;100;0.5;0.5;0.5;0.5;5;;;5
0.520930231;0;100;0.5;0.5;0.5;5;0.5;;;5
0.544186046;0;100;0.5;0.5;0.5;5;5;;;5
0.493023255;0;100;0.5;0.5;5;0.5;0.5;;;5
0.48372093;0;100;0.5;0.5;5;0.5;5;;;5
0.53488372;0;100;0.5;0.5;5;5;0.5;;;5
0.48372093;0;100;0.5;0.5;5;5;5;;;5
0.497674417;0;100;0.5;5;0.5;0.5;0.5;;;5
0.493023254;0;100;0.5;5;0.5;0.5;5;;;5
0.493023254;0;100;0.5;5;0.5;5;0.5;;;5
0.516279069;0;100;0.5;5;0.5;5;5;;;5
0.441860465;0;100;0.5;5;5;0.5;0.5;;;5
0.506976744;0;100;0.5;5;5;0.5;5;;;5
0.520930232;0;100;0.5;5;5;5;0.5;;;5
0.530232557;0;100;0.5;5;5;5;5;;;5
0.479069768;0;100;5;0.5;0.5;0.5;0.5;;;5
0.520930232;0;100;5;0.5;0.5;0.5;5;;;5
0.525581394;0;100;5;0.5;0.5;5;0.5;;;5
0.474418603;0;100;5;0.5;0.5;5;5;;;5
0.446511629;0;100;5;0.5;5;0.5;0.5;;;5
0.497674417;0;100;5;0.5;5;0.5;5;;;5
0.520930232;0;100;5;0.5;5;5;0.5;;;5
0.502325581;0;100;5;0.5;5;5;5;;;5
0.539534882;0;100;5;5;0.5;0.5;0.5;;;5
0.530232559;0;100;5;5;0.5;0.5;5;;;5
0.483720931;0;100;5;5;0.5;5;0.5;;;5
0.506976743;0;100;5;5;0.5;5;5;;;5
0.479069766;0;100;5;5;5;0.5;0.5;;;5
0.497674418;0;100;5;5;5;0.5;5;;;5
0.520930232;0;100;5;5;5;5;0.5;;;5
0.562790697;0;100;5;5;5;5;5;;;5
0.46976744;0.5;100;0.5;0.5;0.5;0.5;0.5;;;5
0.479069766;0.5;100;0.5;0.5;0.5;0.5;5;;;5
0.50232558;0.5;100;0.5;0.5;0.5;5;0.5;;;5
0.437209301;0.5;100;0.5;0.5;0.5;5;5;;;5
